A,D,Eta,epsilon,Gamma,Delta,PoS,PoS Range,PoA,PoA Range,Phi,Phi %,Payoff D,Payoff A,Time
0.03,0.30,0.60,0.75,0.00,0.48,1.07,"[1.05,1.10]",1.04,"[1.01,1.09]",92.10,0.01,8366.01,3677.03,72.70
0.10,0.30,0.60,0.75,0.00,0.48,1.12,"[1.11,1.13]",1.01,"[1.00,1.04]",241.33,0.03,7948.18,9429.20,180.01
0.03,0.75,0.60,0.75,0.00,0.48,1.07,"[1.05,1.10]",1.04,"[1.01,1.09]",92.10,0.01,8365.98,3677.03,74.73
0.10,0.75,0.60,0.75,0.00,0.48,1.12,"[1.11,1.13]",1.01,"[1.00,1.04]",241.33,0.03,7948.18,9429.20,180.01
0.30,0.75,0.60,0.75,0.00,0.48,1.24,"[1.21,1.26]",1.13,"[1.01,1.26]",394.74,0.06,7117.08,16106.87,180.01
0.03,0.30,0.80,1.00,0.00,0.64,1.01,"[1.01,1.04]",3.39,"[2.33,4.52]",57.34,0.01,8767.94,971.60,180.02
0.10,0.30,0.80,1.00,0.00,0.64,1.08,"[1.07,1.09]",1.48,"[1.00,3.41]",284.97,0.03,8278.47,8769.75,180.01
0.03,0.75,0.80,1.00,0.00,0.64,1.01,"[1.01,1.03]",3.35,"[2.44,5.00]",51.80,0.01,8774.46,996.21,180.03
0.10,0.75,0.80,1.00,0.00,0.64,1.08,"[1.07,1.09]",1.01,"[1.00,1.04]",307.24,0.04,8248.47,9429.20,180.01
0.30,0.75,0.80,1.00,0.00,0.64,1.16,"[1.14,1.17]",1.02,"[1.01,1.03]",541.44,0.07,7707.95,16893.80,180.01
0.03,0.30,0.60,0.75,0.10,0.48,1.07,"[1.05,1.10]",3.74,"[2.72,6.40]",92.83,0.01,8342.57,715.32,89.77
0.10,0.30,0.60,0.75,0.10,0.48,1.20,"[1.15,1.23]",1.74,"[1.23,2.03]",676.05,0.09,7612.48,6058.38,180.01
0.03,0.75,0.60,0.75,0.10,0.48,1.07,"[1.05,1.10]",5.51,"[3.82,10.10]",92.87,0.01,8347.80,713.36,91.69
0.10,0.75,0.60,0.75,0.10,0.48,1.14,"[1.11,1.15]",1.89,"[1.36,2.19]",730.06,0.09,7806.45,4525.63,180.01
0.30,0.75,0.60,0.75,0.10,0.48,1.27,"[1.19,1.41]",1.32,"[1.15,1.42]",662.80,0.09,7014.45,12067.67,180.01
0.03,0.30,0.80,1.00,0.10,0.64,1.02,"[1.01,1.05]",3.88,"[1.01,9.48]",85.86,0.01,8693.34,910.89,180.02
0.10,0.30,0.80,1.00,0.10,0.64,1.08,"[1.07,1.09]",1.18,"[1.00,2.17]",289.00,0.04,8252.51,7955.36,180.01
0.03,0.75,0.80,1.00,0.10,0.64,1.01,"[1.01,1.03]",4.27,"[2.40,5.25]",60.03,0.01,8753.73,827.67,180.02
0.10,0.75,0.80,1.00,0.10,0.64,1.08,"[1.07,1.09]",1.91,"[1.02,3.47]",249.37,0.03,8308.51,7584.37,180.01
0.30,0.75,0.80,1.00,0.10,0.64,1.16,"[1.14,1.17]",1.02,"[1.01,1.03]",541.43,0.07,7705.90,16891.54,180.02